2017-12-03, 22:06:32, INFO  , Iniciando sesion,cesar
2017-12-03, 22:07:09, INFO  , Mostrando log,cesar
2017-12-03, 22:07:08, INFO  , Entrando en configuración,cesar
2017-12-03, 22:07:06, INFO  , Entrando en almacen,cesar
2017-12-03, 22:07:04, INFO  , Cargando datos inicio,cesar
2017-12-03, 22:07:04, INFO  , Entrando en home,cesar
2017-12-03, 22:07:04, INFO  , Password correcto,cesar
2017-12-03, 22:06:32, INFO  , Es valido: true,cesar
2017-12-03, 22:06:49, INFO  , Iniciando proceso de validacion,cesar
2017-12-03, 22:06:46, INFO  , Es valido: true,cesar
2017-12-03, 22:06:46, INFO  , Iniciando sesion,cesar
2017-12-03, 22:06:41, INFO  , Cerrando sesion...,cesar
2017-12-03, 22:06:39, INFO  , Entrando en ventas,cesar
2017-12-03, 22:06:37, INFO  , Entrando en almacen,cesar
2017-12-03, 22:06:36, INFO  , Cargando datos inicio,cesar
2017-12-03, 22:06:35, INFO  , Entrando en home,cesar
2017-12-03, 22:06:35, INFO  , Password correcto,cesar
2017-12-03, 22:06:35, INFO  , Iniciando proceso de validacion,cesar
2017-12-03, 22:07:04, INFO  , Iniciando proceso de validacion,ventas
2017-12-03, 22:06:53, INFO  , Entrando en ventas,ventas
2017-12-03, 22:06:51, INFO  , Entrando en almacen,ventas
2017-12-03, 22:06:50, INFO  , Cargando datos inicio,ventas
2017-12-03, 22:06:50, INFO  , Entrando en home,ventas
2017-12-03, 22:06:50, INFO  , Password correcto,ventas
2017-12-03, 22:07:01, INFO  , Es valido: true,ventas
2017-12-03, 22:07:01, INFO  , Iniciando sesion,ventas
2017-12-03, 22:06:55, INFO  , Cerrando sesion...,ventas
